Dept,CourseName,CourseNumber,Hours,GenEds,Prereqs,Description
Physics,Physics of Sound and Musical Acoustics,PHYS 114,4 hours,Natural World—Lab,,"The course explores the physical basis for sound, its production and detection, with applications to speech, hearing, music, and acoustics of musical instruments and buildings.  Intended for the student who has special interest in the acoustical phenomena associated with music and human speech.  No special background in mathematics is assumed, but basic mathematics will be an important tool used throughout the semester.  A basic knowledge of music theory is recommended but not required."
Physics,General Physics I,PHYS 151,4 hours,"Natural World—Lab, Quantitative",,"An investigation of the important principles of physics, including recent developments. Designed for the arts major as well as students majoring in one of the sciences. Together, PHYS 151 and 152 meet the basic requirements in physics for preprofessional students in health related fields, including medicine. Topics include mechanics, energy, fluids, heat, and wave motion. Although this is a non-calculus course, the foundation of physics is mathematical modeling of the physical world. Thus, a basic working knowledge of algebra and trigonometry is assumed and will be further developed as the course proceeds. Graphical and statistical analysis is employed throughout the laboratory component. A student may not receive credit for both PHYS 151 and PHYS 181."
Physics,General Physics II,PHYS 152,4 hours,"Natural World—Lab, Quantitative",PHYS 151 or PHYS 181,"A continuation of the study of physics that builds on the ideas discussed in PHYS 151. Topics include elecricity and magnetism, light, optics, atomic and nuclear physics. A student may not receive credit for both PHYS 152 and PHYS 182."
Physics,Classical Physics I,PHYS 181,4 hours,Natural World—Lab,,"An introduction to the ideas of physics. Topics include Newtonian mechanics, energy, work, oscillations, and fluid dynamics. The laboratory work focuses on measurement and observation to enhance conceptual understanding of the material. The laboratory component is integral to the curriculum and is not offered as a separate course. PHYS 181 is the first of a four-semester sequence of courses designed for physics and pre-engineering students. PHYS 181 and 182 are also appropriate for students majoring in other physical sciences."
Physics,Classical Physics II,PHYS 182,4 hours,Natural World—Lab,PHYS 151 or PHYS 181,"This course continues the discussion of physical ideas begun in PHYS 181. Topics include optics, electricity and magnetism, electromagnetic waves and electric circuits. The laboratory work focuses on measurement and observation to enhance conceptual understanding of the material."
Physics,Statics,PHYS 238,4 hours,,PHYS 151 or 181 and MATH 151,"Analysis of static equilibrium problems for engineering structures. Involves vectors and scalar treatment of coplanar and noncoplanar force systems. Particle and rigid body equilibrium, area and mass movements of inertia, equivalent force systems, distributed forces, friction, internal forces. Offered alternate years."
Physics,Modern Physics I,PHYS 281,4 hours,Natural World—Lab,PHYS 152 or PHYS 182 and MATH 152,"An introduction to the thermodynamics and statistical physics, special relativity as well as elementary topics in quantum physics.  The history and development of experimental and theoretical work in the physics of the 20th century will be strongly emphasized. The laboratory work emphasizes experimental technique, problem solving and data analysis, and is integral to the curriculum. Topics of investigation in the laboratory will include a number of important experiments drawn from the history and development of modern physics. Students are encouraged to alter or extend many of the experiments and engage in projects."
Physics,Modern Physics II,PHYS 282,4 hours,,PHYS 281,"A continuation of PHYS 281 with applications of quantum physics to nuclear, atomic, solid state, elementary particle physics and astrophysics. Topics of investigation in the laboratory will include a number of classic experiments drawn from the history and development of modern physics. Students are expected to alter or extend many of the experiments and engage in projects. The course includes instruction in scientific writing."
Physics,Advanced Laboratory I,PHYS 311,2 hours,,PHYS 282,"An introduction to linear circuits, including transistors and other solid state devices, techniques of electrical measurement, and application of electrical measurement techniques in experiments in modern physics."
Physics,Advanced Laboratory II,PHYS 312,2 hours,,PHYS 311,"The emphasis of this course is the laboratory study of the principles of experimental design, procedures and analysis. Students design and perform a number of experiments from several branches of physics. The course includes instruction in scientific writing. Students write experimental reports and deliver oral presentations of their results."
Physics,Mechanics of Materials,PHYS 352,4 hours,,PHYS 281,"Application of Newtonian mechanics to deformable solids, development of equations of elasticity in rectangular and curvilinear coordinates. Stress and strain, torsion, determinate and indeterminate problems, bending and deflection of beams, two-dimensional problems, variational methods and energy principles, fracture, fatigue. Recommended for students considering future study in mechanical engineering, civil engineering, engineering mechanics, or materials science. Offered every three years."
Physics,Astrophysics,PHYS 354,4 hours,,PHYS 281,"A general, intermediate course on the physics of astronomical objects. Includes introduction to descriptive astronomy. Topics include celestial mechanics, structure of and evolution of stars and topics taken from galactic astronomy and cosmology. Offered every three years."
Physics,Thermal Physics,PHYS 359,4 hours,,PHYS 282,"Concepts of entropy, temperature and thermodynamics. An emphasis on classical and quantum statistics with applications to a wide variety of physical systems. Offered every three years."
Physics,Classical Mechanics,PHYS 361,4 hours,,PHYS 281,"This course present kinematics and dynamics of particles using Newtonian, Lagrangian and Hamiltonian techniques. Topics include conservation laws, central force motion, oscillations and normal mode analysis, small oscillations, rotating rigid bodies and motion in noninertial reference frames. Offered alternate years."
Physics,Electricity and Magnetism,PHYS 364,4 hours,,PHYS 281,"A study of electic and magnetic fields leading up to Maxwell's equations and their applications. The topics include the electrostatic and magnetostatic fields in vacuum and in matter, scaler potentials, vector potentials, electrodynamics and electromagnetic waves. Offered alternate years in the spring."
Physics,Numerical Physics,PHYS 369,4 hours,,PHYS 281,"This course focuses on approaches to complex physical situations that are not practically solvable using analytical methods. The numerical methods and physical problems studied are applicable to several branches of physics including astrophysics, atomic physics, thermal physics, fluid mechanics, and condensed matter physics."
Physics,Particle and Nuclear Physics,PHYS 401,4 hours,,PHYS 282,"This course is intended to introduce students to the properties and interactions of nuclei and elementary particles. Attention will be paid both to the historical experimental development of these related fields as well as their theoretical aspects. Students will be introduced to nuclear properties including stability, structure and reactions, radioactivity and applications of fission and fusion. Among topics in particle physics that will be addressed are the quark model of hadrons, charged-lepton and neutrino physics, the strong and weak interactions, symmetries and conservation laws and experimental methods in particle physics. Offered every three years."
Physics,Quantum Mechanics,PHYS 411,4 hours,,PHYS 282,"This course provides an introduction to the theory of nonrelativistic quantum mechanics. Both the conceptual and formal structure of the theory are discussed. A brief review of the experimental basis for quantization motivates the development of the Schrodinger wave equation. The principles of wave mechanics are then applied to various one dimensional problems, including the harmonic oscillator. The properties of angular momentum are developed and applied to central potentials in three dimensions. Matrix mechanics and spin angular momentum are also discussed, allowing for a complete treatment of the physics of hydrogen-like atoms."
Physics,Senior Project,PHYS 490,1 hour,,,Students will design and implement a project under the supervision of the faculty. Requires senior standing.
Physics,Senior Project,PHYS 491,2 hours,,PHYS 490,"Students will write a research paper reporting the nature, outcomes, and significance of the project undertaken in PHYS 490."
Political Science,American Politics,POLS 130,4 hours,"Human Behavior—Social Science Methods, Historical",,An overview of the historical and contemporary practice of American politics that focuses on the nature of politics and government; the founders' ideas about the democratic republic; the constitutional theory and actual distribution of political power among the branches and levels of government; the problems and possibilities of governing America today; and the avenues available for citizen participation and influence.
Political Science,Global Politics,POLS 132,4 hours,"Human Behavior—Social Science Methods, Intercultural",,"This course will introduce students to (1) global issues, with examination of themes like globalization, economic development and poverty, global warming, ethnic conflict, democratization and war, and (2) global governance, with emphasis on the role of states, nonstate actors and multilateral institutions."
Political Science,Mock Trial,POLS 171,0 hours,,,"This course involves preparation by students for the annual National Intercollegiate Mock Trial Tournament. The class will meet one to three times a week, September through early April. Students will work closely with a faculty sponsor and local attorneys who will guide them in preparing the case. Course may be repeated."
Political Science,Politics of the Middle East,POLS 237,4 hours,"Human Behavior, Historical, Intercultural",,"This course examines the political problems of this vital region of the world, with a focus on the Arab-Israeli conflict, the politics of oil and other resource issues, the role of religion in politics, and the question of democratization. Offered alternate years."
Political Science,Comparative Political Analysis,POLS 242,4 hours,"Human Behavior—Social Science Methods, Historical, Intercultural",,"An introduction to the theories and concepts of comparative politics. Case studies cover major political systems around the world. The course will emphasize performance as well as historical, cultural and ideological bases of these diverse political systems."
Political Science,Law and the Quest for Justice,POLS 243,4 hours,Human Behavior,,"This course will explore the relation between law and justice, with special emphasis on the American legal system.  Students will read both imaginative literature and classical and modern legal thinkers and explore the way criminal, civil and human rights operate both in the United States and globally."
Political Science,Social Policy,POLS 247,4 hours,"Human Behavior—Social Science Methods, Historical, Intercultural",,"By focusing on current governmental efforts to reduce poverty, this course will investigate the influence of race, gender, class, ideology, demography, organized interests, and a market economy on how social policy is made in America."
Political Science,Politics and Religion,POLS 252,4 hours,"Religion, Human Behavior, Historical",,"This course will focus both on the history of the relationship between politics and religion in Amercia and current political issues that are difficult to separate from a very religious and a religiously diverse nation. We will devote significant attention to how religious beliefs influence the way citizens think and act politically and about how government decisions influence religious practices. (Students may use this course to fulfill either the second Religion requirement or the Human Behavior requirement, but not both)."
Political Science,Environmental Politics and Policy,POLS 258,4 hours,Human Behavior—Social Science Methods,,"In this course, students will identify and examine environmental issues confronting the United States, as well as the larger world. Students will identify and evaluate both current and proposed policies for addressing those issues. We will pay particular attention to the range of actors involved in the making of environmental policy and will emphasize the relationship among politics, economics, ethics, and science in the making of environmental policies in the United States and internationally."
Political Science,Terrorism and Democracy,POLS 335,4 hours,"Human Behavior—Social Science Methods, Historical, Intercultural",,"This course will use works of social science, fiction and film to explore the following issues: the sources of modern terrorism, the political nature of terrorism and the tensions inherent in democracies between civil liberties and national security.  A variety of terrorist organizations and countries will be investigated, with special attention to how the United States and other democracies have responded to terrorist attacks."
Political Science,Environmental Justice and Law,POLS 340,4 hours,Human Behavior—Social Science Methods,,"Environmental justice addresses the distribution of environmental burdens and benefits across societies, as well as the ways that citizens have a role in influencing their environmental fates. In this course, we will use the frame of environmental justice to analyze critical issues in the realm of environmental law. The course will examine and analyze legal cases that involve environmental justice issues, as well as environmental conflicts that involve issues of inequality across race, gender, and socio-economic status. Further, we will explore the role of law and judicial processes as paths to address and ameliorate environmental injustice. Students will develop an understanding of the politics of environmental justice, as well as skills in legal analysis and policy analysis within an environmental justice frame."
Political Science,Economic Policy,POLS 350,4 hours,Human Behavior,,"This course will examine the role of the state in the economy in democratic societies.  Topics covered will include international trade policy, the government's capacity to manage the economy, the balance between state and market force and political pressures that influence economic policies. Offered alternate years."
Political Science,Political Parties and Interest Groups,POLS 353,4 hours,"Human Behavior—Social Science Methods, Historical",,"An examination of the function of political parties and interest groups as links between voters and government. What has been the impact of third parties, new campaign techniques, party reforms, single issue and public interest groups, and campaign finance rules? Will American political parties decline as interest groups build strength, or will there be a new party alignment?"
Political Science,"Women, Representation, and Politics",POLS 354,4 hours,Human Behavior—Social Science Methods,,"This course explores the role of gender in politics through the conceptual framework of representation. Focusing specifically on women's representation, this course provides a comparative analysis of women's movements in various countries, explores the role of transnational advocacy networks (TANs) in the implementation of gender-related policies, and discusses the rise in the number of women elected to political offices across the globe and its impact on political systems. (Same as WGST 354)"
Political Science,Constitutional Law,POLS 355,4 hours,"Human Behavior, Human Expression—Primary Texts",,"Relying primarily on Supreme Court opinion, the course emphasizes how the Supreme Court has and should interpret the Constitution. The course examines the role of the Supreme Court and the allocation of governmental powers within the American constitutional/political system."
Political Science,Civil Rights and Liberties,POLS 356,4 hours,"Human Behavior, Human Expression—Primary Texts",,"A study of the relationships between the individual and the state, emphasizing the limitations of government and the civil and political rights of individuals. Both Supreme Court cases and theoretical writings will be used. Offered alternate years."
Political Science,Congress and the Presidency,POLS 357,4 hours,"Human Behavior—Social Science Methods, Historical",,"An examination of the role of Congress and the Presidency in the American political system. Included are the powers and responsibilities of both institutions, the relationship between them, struggles over power and influence, and the capacity of Congress and the President to work together to make effective public policy."
Political Science,Global Environmental Politics,POLS 360,4 hours,Human Behavior,,"This course examines the politics of global environmental issues such as climate change governance, poaching and illegal wildlife trade and policy, globalization of e-waste and waste cycles, and extractive industries such as mining and fossil fuel production, human rights and food production, as well as sustainable international development. We will take a three-pronged approach to our inquiry by a) analyzing the politics of global environmental change, b) examining global economic and political processes that shape the landscape of global environmental politics, and c) exploring the international agreements and institutions that seek to address transboundary, global environmental problems. Ultimately, we will explore global environmental issues and institutions in an analysis of the ways that environmental politics transcend local and national scales."
Political Science,The Sustainability of Political and Economic Development in Latin America,POLS 362,4 hours,"Human Behavior—Social Science Methods, Historical, Intercultural",,"This course is a survey of the political and economic development of Latin America.  When thinking about politics and economics in the region, this course will focus on the concept of sustainability and how that affects political systems, economies, and the environment in Latin America.  The course will discuss what sustainability means, how it relates to the political process, and how it relates to the current and past political and economic issues faced by Latin American countries.  In the course students will develop a sophisticated understanding of some of the most important environmental, economic and political issues of Latin America while paying special attention to how the concept of sustainability, broadly defined, affects these issues."
Political Science,International Relations,POLS 363,4 hours,"Human Behavior, Historical",,An examination of theories and contemporary issues in international relations and international political economy.
Political Science,United States Foreign Policy,POLS 364,4 hours,"Human Behavior—Social Science Methods, Historical",,"The first segment of the course examines the evolution of American foreign policy from 19th century isolationism to global power in the 20th and 21st centuries. The second segment explores the making of foreign policy today, with focus on the alternative strategies available to decision makers."
Political Science,American Political Thought,POLS 365,4 hours,"Human Behavior—Social Science Methods, Human Expression",,"An examination of how American political thinkers, leaders, and contemporary commentators have dealt with the issues of power, equality, sovereignty, and representation. The course also focuses on the relations in American political thinking between abstract political concepts and practical politics. Offered alternate years."
Political Science,Political Thought,POLS 366,4 hours,"Human Behavior, Human Expression—Primary Texts",,"An historical survey of western political thought that explores competing visions of the political order. Readings will include selections from classical, modern, and contemporary political philosophy."
Political Science,Political Leadership,POLS 367,4 hours,"Human Behavior, Human Expression—Primary Texts",,"Political leadership is different than other forms of leadership because politics is a unique activity. We will use biography, fiction, classical political theory, speeches, and contemporary social science writings to study the nature of political leadership.  The course will pay special attention to the tension between being a good person and a good leader and will explore the idea of politics as a vocation."
Political Science,Seminar,POLS 485,4 hours,,,"Open to junior or senior political science majors, the seminar will focus on major political thinkers or themes. The course will rely on discussion, student presentations, and independent projects."
Political Science,Senior Project,POLS 490,"1, 2, or 4 hours",,,
Psychology,General Psychology,PSYC 130,4 hours,Human Behavior—Social Science Methods,,"An introduction to the field of psychology intended for both majors and non-majors. Topics covered include social processes, personality, emotional disorders, development, thinking, testing, learning, motivation, perception, psychobiology, and animal behavior. This course is prerequisite to all other psychology courses."
Psychology,Developmental Psychology,PSYC 240,4 hours,Human Behavior,PSYC 130,"Developmental psychology is the branch of psychology that studies how people change as they age. This course focuses on the description, prediction, and explanation of physical, cognitive, and psychosocial aspects of age-related change, from conception to old age."
Psychology,Psychology of Health and Illness,PSYC 241,4 hours,Human Behavior,PSYC 130,"This course deals with the scientific and professional contributions of the discipline of psychology to the promotion and maintenance of health; the prevention and treatment of illness; and the identification of etiologic and diagnostic correlates of health, illness, and related dysfunctions."
Psychology,Evolutionary Psychology,PSYC 242,4 hours,Human Behavior,PSYC 130,Evolutionary psychology applies the principles of Darwinian natural and sexual selection to the study of the human mind and behavior. The central assumption of the field is that the mind evolved to solve recurrent survival and reproduction problems in the ancestral environment. Selected topics within evolutionary psychology will be examined and critically evaluated.
Psychology,Personality and Individual Differences,PSYC 243,4 hours,Human Behavior,PSYC 130,"An examination of the major psychological approaches to personality and topics such as cognitive ability, attitudes, and other latent structures underlying consistencies in behavior. Special attention will be given to certain selected theorists and their contrasting views of personal change/consistency, human nature, and psychological investigation."
Psychology,Animal Cognition,PSYC 244,4 hours,Natural World—Nonlab,PSYC 130,"This course is an introduction to the study of cognition in animals, including how animals perceive, think, learn, remember, and communicate. We will explore these issues within both psychological and biological frameworks, and will include topics such as evolution of intelligence, cognition as adaptation, animal consciousness, and language in apes. An emphasis on comparing animal cognitive processes to human cognition will be part of the course."
Psychology,Pyschology of Religion,PSYC 248,4 hours,Human Behavior,PSYC 130,"The psychology of religion is the empirical study of human behavior, cognition, and motivation as it relates to religious phenomena. Both classic and contemporary psychological approaches to religion will be discussed in this course, and research on topics such as religious development, morality, spirituality, and the relationship with God will be covered."
Psychology,Brain and Behavior,PSYC 249,4 hours,"Human Behavior, Natural World—Nonlab",PSYC 130,"This course will explore the biological basis of behavior through the fields of behavioral and cognitive neuroscience. The focus is on how the brain regulates human behavior, with emphasis on particular psychological topics such as developmental processes, perceptual processes, learning and memory, motivation and emotion, thinking, and disorders; as well as biological topics such as neural communication, neuroanatomy, and neurophysiology. Recent research is discussed in terms of its applications to understanding human behavior and brain disorders. (Same as NEUR 249)"
Psychology,Psychology and Aging,PSYC 270,4 hours,Human Behavior,PSYC 130,"This course is designed to examine psychological aspects of growing older in the 21st century.  Students will be introduced to the current methodologies used to study aging as we explore the physical, cognitive, and psychosocial changes in individuals over the age of 60.  The lecture, readings and assignments will address a range of topics that include expected versus abnormal changes in memory, creativity, the shifting roles of the elderly in family and society, and coping with illness and loss.  In light of the fact that individuals over the age of 85 are the fastest-growing segment of the global population, and that the majority are women (approximately 2:1), we will also study changes associated with gender roles and sexuality during our later years. A major goal for this course is to foster a clearer understanding of the processes associated with normal aging and to dispel a number of the stereotypes that surround this time of life. (Same as WGST 270)"
Psychology,Research Methods in Psychology,PSYC 349,2 hours,,PSYC 130,"This course provides an introduction to the ways in which the scientific method is applied to psychology. Attention is given to the methods used by psychologists to describe, predict, and explain psychological phenomena. Students will learn the nature of observational, quasti-experimental, and experimental methods, with a specific focus on issues of reliability and validity."
Psychology,Behavioral Statistics,PSYC 350,4 hours,,PSYC 130 and MATH 110 or 115 or 140 (preferred) or above,A first course in statistics which introduces descriptive and inferential statistical tools as they apply to organization and analysis of data in the behavioral sciences.
Psychology,Cognitive Processes,PSYC 352,4 hours,,"PSYC 130, 349 and 350","A study of the mental processes involved in the acquisition, organization, representation, and retrieval of information by humans. Topics to be covered include attention, recognition memory, short-term and long-term memory, concept formation, problem solving, and creativity. Lecture, discussion, and weekly laboratories. Students conduct original research."
Psychology,Social Psychology,PSYC 353,4 hours,,"PSYC 130, 349 and 350","Social psychology is the scientific study or how people think about, influence, and relate to one another. Some major topic areas include attitude formation and change, aggression, attraction, conformity, person perception and group processes. Lectures, discussions, and weekly laboratories will be held. Students will be involved in original research."
Psychology,Learning and Behavior,PSYC 354,4 hours,,"PSYC 130, 349 and 350","A study of the basic theories, methodology, and findings in the areas of classical and operant conditioning and learning for both humans and animals. Applications, including behavioral modification, will be emphasized throughout the course. Lecture, discussion, and weekly laboratories."
Psychology,"Stress, Coping, and Well-Being",PSYC 356,4 hours,,"PSYC 130, 349 and 350","This course focuses on psychological, biological, and social factors involved in stress, coping, and well-being. Correlates, causes, and consequences of stress will be examined, as well as the role of appraisal and coping as mediating/moderating influences. Students will conduct and present original research on stress, coping and well-being. Topics to be covered include: models of stress, measurement, stressful events, appraisals, coping, adaptation, and treatment."
Psychology,Psychology of the Workplace,PSYC 358,4 hours,,"PSYC 130, 349 and 350","This course focuses on the major research areas involved in the field of Industrial-Organizational Psychology, the scientific study of people at work. Some major topic areas include job analysis, employee selection, work stress, job attitudes, motivation, and work-life balance. Lectures, discussions, and weekly laboratories will be held. Students will be involved in original research."
Psychology,Applied Psychology,PSYC 430,4 hours,Human Behavior,PSYC 130,"This course provides an overview of the application of psychological theories and research to practical problems in several occupational disciplines (e.g., education, law, sports, consumer behavior, ergonomics, environmental sustainability).  Students will be expected to demonstrate an understanding of the roles, responsibilities, and career opportunities for those with undergraduate and graduate degrees in the various sub-fields of psychology.  Emphasis will be placed on exploring the relevance of psychological concepts to students' everyday lives and career interests."
Psychology,Abnormal Psychology,PSYC 465,4 hours,,"PSYC 130, a 200-level psych course and junior status","An examination of the major psychological disorders including depression, schizophrenia, personality disorders, psychosomatic disorders, organic disorders, and the disorders of childhood. Emphasis is placed on the description and classification of psychopathology and on the research relating to etiology and treatment."
Psychology,Psychological Tests and Measurement,PSYC 466,4 hours,,PSYC 130 and 350,"This course is designed to acquaint the student with psychological measurement, in general, and psychological tests, in particular. The course will survey the measurement of aptitude, personality, interest, and adjustment using objective tests, projective tests, rating scales, and interviews. The validity, reliability, and application of these measurement techniques will be emphasized."
Psychology,Intro to Counseling,PSYC 468,4 hours,,PSYC 130 and 465,An introduction to models of counseling with emphasis on selected processes and skills necessary to apply the models in a variety of settings. One class meeting per week is devoted to practice of skills. Other topics include professional ethics and the efficacy of major models of counseling.
Psychology,Senior Project,PSYC 490,"1, 2, or 4 hours",,,
Religion,Introduction to Biblical Studies,REL 101,4 hours,"Biblical Studies, Religion",,"An introduction to the academic study of biblical literature with an emphasis on selected writings, themes, and methods of interpretation. Students will also become familiar with extra-biblical sources (textual and archaeological) which contribute to understanding the Bible in its historical, socio-economic, theological, and literary contexts. Students who earn credit for REL 101 may not earn credit for REL 111 or REL 112."
Religion,Introduction to Hebrew Bible Studies Apocrypha,REL 111,4 hours,"Biblical Studies, Religion",,"An introduction to the academic study of the literature of the Hebrew Bible and Apocrypha/Deutero-canon with an emphasis on selected writings, themes, and methods of interpretation. Students will also become familiar with extra-biblical sources (textual and archaeological) which contribute to understanding the Hebrew Bible and Apocrypha/Deutero-canon in their historical, socio-economic, theological, and literary contexts.  Students who earn credit for REL 111 may earn credit for REL 112 but not for REL 101."
Religion,Introduction to New Testament Studies,REL 112,4 hours,"Biblical Studies, Religion",,"An introduction to the academic study of the literture of the New Testament with an emphasis on selected, writings, themes, and methods of interpretation. Students will also become familiar with extra-biblical sources (textual and archaeological) which contribute to understanding the New Testament in its historical, socio-economic, theological, and literary contexts. Students who earn credit for REL 112 may earn credit for REL 111 but not for REL 101."
Religion,Religion: Curse Or Blessing?,REL 120,2 hours,,,"This course explores the role and purpose of religions throughout history, across cultures, and in today's society. It will examine how religions have shaped and were shaped by politics, sciences, moral values, and our understanding of what it means to be human. It will deal with questions such as What is religion? Does religion do any good? Do we need religion? What are the benefits and perils of religion?"
Religion,Ancient Mediterranean Heroes,REL 200,4 hours,"Religion, Human Expression—Primary Texts","REL 101, REL 111, or REL 112","Why do communities identify certain people as heroes? Why are there so many similarities in the narratives communities living in different times and places have told about their heroes? What role do hero narratives play in the social construction of ""religions""? This course will explore questions such as these by focusing on ancient Mediterranean hero narratives. Students will engage theories of heroes and hero narratives produced from the nineteenth century to the present. They will then utilize these theories in the analysis of hero narratives from ancient Ugarit, Mesopotamia, Greece, Rome, and Israel/Judah."
Religion,Luther and Lutheranism,REL 201,4 hours,"Religion, Human Expression—Primary Texts, Historical","REL 101, 111 or 112.","This course closely examines the life and thought of Martin Luther, provides an overview of the development of Lutheran Churches from the Reformation to the present, and explores some of the issues debated in Lutheran Churches today."
Religion,From Buddhist Texts to Anime,REL 202,4 hours,"Human Expression—Primary Texts, Intercultural, Religion",Take Rel-101 Rel-111 or Rel-112,"This course examines religious themes in and the religious function of various narrative forms in Japan. The course will examine primary scriptures and commentaries from the Buddhist tradition as well as ghost stories, poems, plays (No and Kabuki), novels, manga, and anime. These literary forms are a product of various interactions among the Japanese, Chinese, and American cultures. Analyzing these kinds of cultural and religious expressions, the course examines the role of religious ritual and sacred texts in pre-modern as well as contemporary Japan. The course deepens the skills in textual and literary criticism introduced in the courses fulfilling the Bible requirement. It will also introduce students to critical theory (including gender and queer studies), and intercultural analysis. This course exposes students equally to the study of Japanese culture and various methods of textual interpretation."
Religion,Rewriting Scripture: From Chronicles to The Qur'an,REL 203,4 hours,"Religion, Human Expression—Primary Texts","REL 101, REL 111, or REL 112","Is the text of the Bible fixed and static or has it undergone change and modification over time? In this course, we will consider the widely-recognized phenomenon of the re-written Bible by analyzing evidence that demonstrates textual change. Examples will include the way the book of Chronicles rewrites the history of the Israelite monarchy found in Samuel and Kings, the reworkings of biblical materials in the Dead Sea Scrolls and other early Jewish literature, the textual fluidity of early New Testament manuscripts, and the reworking of biblical materials in the Qur'an. Attention will be given to how the changing circumstances of religious communities influence the transmission of the texts they deem authoritative."
Religion,The World of the Bible,REL 204,4 hours,Religion,"REL 101, REL 111, or REL 112","Using archaeological, literary, and artistic sources together with the Bible, this course examines the environments within which the biblical books were written."
Religion,Sex in the Bible and the Qur'an,REL 212,4 hours,"Religion, Human Expression—Primary Texts","REL 101, 111 or 112","This course will explore constructions of gender and sexuality in the Bible and the Qur'an. Students will be introduced to contemporary theories of gender and sexuality that they will use to analyze primary texts in relation to their cultural contexts. Specific topics may include competing representations of men and women, different constructions of marriage, the use of marriage as a metaphor, and representations of homoeroticism."
Religion,Archaeology and the Bible,REL 213,4 hours,"Religion, Historical","REL 101, 111 or 112",This course will explore the role archaeology has played in biblical studies and studies of the history of ancient Israel from the nineteenth century to the present. Students will critically analyze the ways that biblical narratives and material evidence have been used to reconstruct the history of Israel and Judah; the use of biblical texts and archaeological evidence in broader religious and political discourse; and ethical issues related to archaeology and historical reconstruction of ancient Israel and Judah.
Religion,Bible and Christian Faith,REL 217,4 hours,"Religion, Human Expression—Primary Texts","REL 101, 111 or 112.","The Bible, commonly called the ""Word of God,"" has always been more than ""a book"" for Christians. Contemporary forms of biblical criticism, however, have posed challenges for many Christians who look to the Bible as a resource for Christian faith and practice. In general, this course will wrestle with two fundamental questions: 1) What is the Bible? and 2) What is faith? In particular, it will examine possible relationships between the Bible and Christian faith. Attention will be given to the ""battle for the Bible"" between so-called ""conservatives"" and ""liberals."" The issues considered in this course will be analyzed within the context of examining the ways in which the relationship between the Bible and one's faith influences how one thinks about and lives in the world and with others."
Religion,Christian Ethics,REL 218,4 hours,"Religion, Human Expression—Primary Texts","REL 101, 111, or 112.","An introduction to the biblical and theological sources of Christian ethics, types of moral theories, and methods of moral deliberation. Students develop a moral framework for a response to a variety of issues related to human sexuality, business, ecology, business, medicine, and war."
Religion,Christian Theology,REL 219,4 hours,"Religion, Human Expression—Primary Texts, Intercultural","REL 101, 111, or 112","A study of teachings basic to the Christian faith using classical and contemporary sources from both the Protestant and Catholic traditions, such as those about God, relations among religions, Jesus, the Church, and creation and its interpretations for today in light of their biblical and historical foundations."
Religion,Experiencing Mahayana Buddhism,REL 220,4 hours,"Religion, Intercultural, Human Expression—Primary Texts","REL 101, 111, or 112.","This course introduces students to Mahayana Buddhism. It explores the development of Mahayana Buddhism, its relationship with other religious traditions, and its influence on culture. The primary teaching method is experiential. Students will visit temples in selected areas of East Asia, have instructions by an abbot, participate in the monastic life, will meet scholars of Buddhism, visit holy sites, and participate in Buddhist worship. The students will spend three days in a temple, joining the monks in meditation and religious practice. In addition to this experiential dimension, the course will familiarize students with the history, scriptures, and beliefs of Mahayana Buddhism through readings from primary texts, lectures, videos, and class discussions. It will further analyze the Buddhist response to general topics and problems, such as the absolute, the notion of self, the problem of human existence, as well as soteriological and ethical issues."
Religion,History of Christian Thought,REL 221,4 hours,"Religion, Human Expression—Primary Texts, Historical","REL 101, 111 or 112","A survey of central events, ideas, and figures in the history of Christianity from the early church to the present. The course will focus on primary texts, and attention will be given to the ways that Christian theology has developed over the centuries within a variety of cultures."
Religion,Islam: Historical Foundations and Contemporary Realities,REL 224,4 hours,"Religion, Human Expression—Primary Texts, Intercultural","REL 101, 111, or 112","The nature of the early development of Islam has been much contested and somewhat shrouded in mystery. Who was Muhammad? What were the goals and motivations of the early Islamic movement? New historical research is beginning to shed light on these questions in ways that could have real implications for how we understand the nature of Islamic identity in the contemporary world. In this course, we will explore the growing evidence for Islamic origins and analyze its implications for understanding the contemporary realities of various Muslim movements and traditions."
Religion,Judaism,REL 225,4 hours,"Religion, Human Expression—Primary Texts, Historical, Intercultural","REL 101, 111, or 112","The course will provide a basic introduction to the development of Judaism as a religious culture from its beginnings to the present day. By reading primary texts from the bibical, rabbinic, medieval, and modern periods, students will examine religious experiences, worldviews, beliefs, behaviors, and symbols of the Jewish tradition, and the historical forces - cultural, political, social and economic - that have shaped Judaism. Throughout the course we will address issues raised by the history of Judaism that are particularly relevant today - imperialism, genocide, post-Holocaust theology, the State of Israel, gender, and so on."
Religion,Religionless Christianity,REL 226,4 hours,"Religion, Human Expression—Primary Texts","REL 101, 111, or 112","Is the ""religion"" called Christianity fading into irrelevance? Has religion as routine and custom replaced faith and discipleship? Could a religionless Christianity restore the vitality and mission of the church? This course explores these questions through the life and thought of Dietrich Bonhoeffer, a Lutheran theologian executed for his participation in a conspiracy to assassinate Adolf Hitler. These questions along with other aspects of his theological ethics are examined in their historical context through three primary texts: The Cost of Discipleship, Ethics, and Letters and Papers from Prison. Attention is given to the significance of Bonhoeffer's work for today."
